category,glyph name,composition,code point,(char.),(character name),(compatible glyph name)
syllabic,ki_dotAbove-cans,"ki-cans, dotAbove-cans",0x146E,ᑮ,CANADIAN SYLLABICS KII,kiCans_dotAboveCans
syllabic,ko_dotAbove-cans,"ko-cans, dotAbove-cans",0x1470,ᑰ,CANADIAN SYLLABICS KOO,koCans_dotAboveCans
syllabic,ka_dotAbove-cans,"ka-cans, dotAbove-cans",0x1473,ᑳ,CANADIAN SYLLABICS KAA,kaCans_dotAboveCans
syllabic,dot_ke-cans,"dot-cans, ke-cans",0x1474,ᑴ,CANADIAN SYLLABICS KWE,dotCans_keCans
syllabic,ke_dot-cans,"ke-cans, dot-cans",0x1475,ᑵ,CANADIAN SYLLABICS WEST-CREE KWE,keCans_dotCans
syllabic,dot_ki-cans,"dot-cans, ki-cans",0x1476,ᑶ,CANADIAN SYLLABICS KWI,dotCans_kiCans
syllabic,ki_dot-cans,"ki-cans, dot-cans",0x1477,ᑷ,CANADIAN SYLLABICS WEST-CREE KWI,kiCans_dotCans
syllabic,dot_ki_dotAbove-cans,"dot-cans, ki-cans, dotAbove-cans",0x1478,ᑸ,CANADIAN SYLLABICS KWII,dotCans_kiCans_dotAboveCans
syllabic,ki_dotAbove_dot-cans,"ki-cans, dotAbove-cans, dot-cans",0x1479,ᑹ,CANADIAN SYLLABICS WEST-CREE KWII,kiCans_dotAboveCans_dotCans
syllabic,dot_ko-cans,"dot-cans, ko-cans",0x147A,ᑺ,CANADIAN SYLLABICS KWO,dotCans_koCans
syllabic,ko_dot-cans,"ko-cans, dot-cans",0x147B,ᑻ,CANADIAN SYLLABICS WEST-CREE KWO,koCans_dotCans
syllabic,dot_ko_dotAbove-cans,"dot-cans, ko-cans, dotAbove-cans",0x147C,ᑼ,CANADIAN SYLLABICS KWOO,dotCans_koCans_dotAboveCans
syllabic,ko_dotAbove_dot-cans,"ko-cans, dotAbove-cans, dot-cans",0x147D,ᑽ,CANADIAN SYLLABICS WEST-CREE KWOO,koCans_dotAboveCans_dotCans
syllabic,dot_ka-cans,"dot-cans, ka-cans",0x147E,ᑾ,CANADIAN SYLLABICS KWA,dotCans_kaCans
syllabic,ka_dot-cans,"ka-cans, dot-cans",0x147F,ᑿ,CANADIAN SYLLABICS WEST-CREE KWA,kaCans_dotCans
syllabic,dot_ka_dotAbove-cans,"dot-cans, ka-cans, dotAbove-cans",0x1480,ᒀ,CANADIAN SYLLABICS KWAA,dotCans_kaCans_dotAboveCans
syllabic,ka_dotAbove_dot-cans,"ka-cans, dotAbove-cans, dot-cans",0x1481,ᒁ,CANADIAN SYLLABICS WEST-CREE KWAA,kaCans_dotAboveCans_dotCans
syllabic,ka_ringAbove-cans,"ka-cans, ringAbove-cans",0x18B8,ᢸ,CANADIAN SYLLABICS KAY,kaCans_ringAboveCans
syllabic,dot_ka_ringAbove-cans,"dot-cans, ka-cans, ringAbove-cans",0x18B9,ᢹ,CANADIAN SYLLABICS KWAY,dotCans_kaCans_ringAboveCans
syllabic,ke_supPipe-cans,"ke-cans, supPipe-cans",0x1485,ᒅ,CANADIAN SYLLABICS SOUTH-SLAVEY KEH,keCans_supPipeCans
syllabic,ki_supPipe-cans,"ki-cans, supPipe-cans",0x1486,ᒆ,CANADIAN SYLLABICS SOUTH-SLAVEY KIH,kiCans_supPipeCans
syllabic,ko_supPipe-cans,"ko-cans, supPipe-cans",0x1487,ᒇ,CANADIAN SYLLABICS SOUTH-SLAVEY KOH,koCans_supPipeCans
syllabic,ka_supPipe-cans,"ka-cans, supPipe-cans",0x1488,ᒈ,CANADIAN SYLLABICS SOUTH-SLAVEY KAH,kaCans_supPipeCans
syllabic,ko_dieresis-cans,"ko-cans, dieresis-cans",0x1471,ᑱ,CANADIAN SYLLABICS Y-CREE KOO,koCans_dieresisCans
syllabic,colon_ka-cans,"colon-cans, ka-cans",0x1482,ᒂ,CANADIAN SYLLABICS NASKAPI KWAA,colonCans_kaCans
syllabic,ne-cans,,0x14C0,ᓀ,CANADIAN SYLLABICS NE,neCans
syllabic,ni-cans,,0x14C2,ᓂ,CANADIAN SYLLABICS NI,niCans
syllabic,no-cans,,0x14C4,ᓄ,CANADIAN SYLLABICS NO,noCans
syllabic,na-cans,,0x14C7,ᓇ,CANADIAN SYLLABICS NA,naCans
syllabic,ni_ringAbove-cans,"ni-cans, ringAbove-cans",0x14C1,ᓁ,CANADIAN SYLLABICS NAAI,niCans_ringAboveCans
syllabic,ni_dotAbove-cans,"ni-cans, dotAbove-cans",0x14C3,ᓃ,CANADIAN SYLLABICS NII,niCans_dotAboveCans
syllabic,no_dotAbove-cans,"no-cans, dotAbove-cans",0x14C5,ᓅ,CANADIAN SYLLABICS NOO,noCans_dotAboveCans
syllabic,na_dotAbove-cans,"na-cans, dotAbove-cans",0x14C8,ᓈ,CANADIAN SYLLABICS NAA,naCans_dotAboveCans
syllabic,dot_ne-cans,"dot-cans, ne-cans",0x14C9,ᓉ,CANADIAN SYLLABICS NWE,dotCans_neCans
syllabic,ne_dot-cans,"ne-cans, dot-cans",0x14CA,ᓊ,CANADIAN SYLLABICS WEST-CREE NWE,neCans_dotCans
syllabic,dot_na-cans,"dot-cans, na-cans",0x14CB,ᓋ,CANADIAN SYLLABICS NWA,dotCans_naCans
syllabic,na_dot-cans,"na-cans, dot-cans",0x14CC,ᓌ,CANADIAN SYLLABICS WEST-CREE NWA,naCans_dotCans
syllabic,dot_na_dotAbove-cans,"dot-cans, na-cans, dotAbove-cans",0x14CD,ᓍ,CANADIAN SYLLABICS NWAA,dotCans_naCans_dotAboveCans
syllabic,na_dotAbove_dot-cans,"na-cans, dotAbove-cans, dot-cans",0x14CE,ᓎ,CANADIAN SYLLABICS WEST-CREE NWAA,naCans_dotAboveCans_dotCans
syllabic,no_ringAbove-cans,"no-cans, ringAbove-cans",0x18BB,ᢻ,CANADIAN SYLLABICS NOY,noCans_ringAboveCans
syllabic,na_ringAbove-cans,"na-cans, ringAbove-cans",0x18BC,ᢼ,CANADIAN SYLLABICS NAY,naCans_ringAboveCans
syllabic,dot_ni-cans,"dot-cans, ni-cans",0x18C6,ᣆ,CANADIAN SYLLABICS NWI,dotCans_niCans
syllabic,ni_dot-cans,"ni-cans, dot-cans",0x18C7,ᣇ,CANADIAN SYLLABICS OJIBWAY NWI,niCans_dotCans
syllabic,dot_ni_dotAbove-cans,"dot-cans, ni-cans, dotAbove-cans",0x18C8,ᣈ,CANADIAN SYLLABICS NWII,dotCans_niCans_dotAboveCans
syllabic,ni_dotAbove_dot-cans,"ni-cans, dotAbove-cans, dot-cans",0x18C9,ᣉ,CANADIAN SYLLABICS OJIBWAY NWII,niCans_dotAboveCans_dotCans
syllabic,dot_no-cans,"dot-cans, no-cans",0x18CA,ᣊ,CANADIAN SYLLABICS NWO,dotCans_noCans
syllabic,no_dot-cans,"no-cans, dot-cans",0x18CB,ᣋ,CANADIAN SYLLABICS OJIBWAY NWO,noCans_dotCans
syllabic,dot_no_dotAbove-cans,"dot-cans, no-cans, dotAbove-cans",0x18CC,ᣌ,CANADIAN SYLLABICS NWOO,dotCans_noCans_dotAboveCans
syllabic,no_dotAbove_dot-cans,"no-cans, dotAbove-cans, dot-cans",0x18CD,ᣍ,CANADIAN SYLLABICS OJIBWAY NWOO,noCans_dotAboveCans_dotCans
syllabic,no_dieresis-cans,"no-cans, dieresis-cans",0x14C6,ᓆ,CANADIAN SYLLABICS Y-CREE NOO,noCans_dieresisCans
syllabic,na_dieresis-cans,"na-cans, dieresis-cans",0x14CF,ᓏ,CANADIAN SYLLABICS NASKAPI NWAA,naCans_dieresisCans
syllabic,neThe-cans,"ne-cans, crossbarAbove-cans",0x159B,ᖛ,CANADIAN SYLLABICS WOODS-CREE THE,neTheCans
syllabic,niThi-cans,"ni-cans, crossbarAbove-cans",0x159C,ᖜ,CANADIAN SYLLABICS WOODS-CREE THI,niThiCans
syllabic,noTho-cans,"no-cans, crossbarAbove-cans",0x159D,ᖝ,CANADIAN SYLLABICS WOODS-CREE THO,noThoCans
syllabic,naTha-cans,"na-cans, crossbarAbove-cans",0x159E,ᖞ,CANADIAN SYLLABICS WOODS-CREE THA,naThaCans
syllabic,keHe-cans,,0x1574,ᕴ,CANADIAN SYLLABICS NUNAVIK HE,keHeCans
syllabic,kiHi-cans,,0x1575,ᕵ,CANADIAN SYLLABICS NUNAVIK HI,kiHiCans
syllabic,koHo-cans,,0x1577,ᕷ,CANADIAN SYLLABICS NUNAVIK HO,koHoCans
syllabic,kaHa-cans,,0x1579,ᕹ,CANADIAN SYLLABICS NUNAVIK HA,kaHaCans
syllabic,kiHi_dotAbove-cans,"kiHi-cans, dotAbove-cans",0x1576,ᕶ,CANADIAN SYLLABICS NUNAVIK HII,kiHiCans_dotAboveCans
syllabic,koHo_dotAbove-cans,"koHo-cans, dotAbove-cans",0x1578,ᕸ,CANADIAN SYLLABICS NUNAVIK HOO,koHoCans_dotAboveCans
syllabic,kaHa_dotAbove-cans,"kaHa-cans, dotAbove-cans",0x157A,ᕺ,CANADIAN SYLLABICS NUNAVIK HAA,kaHaCans_dotAboveCans
syllabic,tlhe-cans,,0x1586,ᖆ,CANADIAN SYLLABICS TLHE,tlheCans
syllabic,tlhi-cans,,0x1587,ᖇ,CANADIAN SYLLABICS TLHI,tlhiCans
syllabic,tlho-cans,,0x1588,ᖈ,CANADIAN SYLLABICS TLHO,tlhoCans
syllabic,tlha-cans,,0x1589,ᖉ,CANADIAN SYLLABICS TLHA,tlhaCans
syllabic,tlhe_dot-cans,"tlhe-cans, dot-cans",0x18E8,ᣨ,CANADIAN SYLLABICS TLHWE,tlheCans_dotCans
syllabic,tlho_dotAbove-cans,"tlho-cans, dotAbove-cans",0x18E9,ᣩ,CANADIAN SYLLABICS TLHOO,tlhoCans_dotAboveCans
syllabic,openKe-cans,,0x154B,ᕋ,CANADIAN SYLLABICS RA,openKeCans
syllabic,openKi-cans,,0x1548,ᕈ,CANADIAN SYLLABICS RO,openKiCans
syllabic,openKo-cans,,0x154D,ᕍ,CANADIAN SYLLABICS WEST-CREE LA,openKoCans
syllabic,openKa-cans,,0x154A,ᕊ,CANADIAN SYLLABICS WEST-CREE LO,openKaCans
syllabic,openKe_dotAbove-cans,"openKe-cans, dotAbove-cans",0x154C,ᕌ,CANADIAN SYLLABICS RAA,openKeCans_dotAboveCans
syllabic,openKe_ringAbove-cans,"openKe-cans, ringAbove-cans",0x18C5,ᣅ,CANADIAN SYLLABICS RAY,openKeCans_ringAboveCans
syllabic,dot_openKe_dotAbove-cans,"dot-cans, openKe-cans, dotAbove-cans",0x154E,ᕎ,CANADIAN SYLLABICS RWAA,dotCans_openKeCans_dotAboveCans
syllabic,openKe_dotAbove_dot-cans,"openKe-cans, dotAbove-cans, dot-cans",0x154F,ᕏ,CANADIAN SYLLABICS WEST-CREE RWAA,openKeCans_dotAboveCans_dotCans
syllabic,openKi_dotAbove-cans,"openKi-cans, dotAbove-cans",0x1549,ᕉ,CANADIAN SYLLABICS ROO,openKiCans_dotAboveCans
syllabic,dot_openKi-cans,"dot-cans, openKi-cans",0x18D1,ᣑ,CANADIAN SYLLABICS RWO,dotCans_openKiCans
syllabic,dot_openKi_dotAbove-cans,"dot-cans, openKi-cans, dotAbove-cans",0x18D2,ᣒ,CANADIAN SYLLABICS RWOO,dotCans_openKiCans_dotAboveCans
syllabic,dot_openKe-cans,"dot-cans, openKe-cans",0x18D3,ᣓ,CANADIAN SYLLABICS RWA,dotCans_openKeCans
syllabic,supRa_ke-cans,"supRa-cans, ke-cans",0x166F,ᙯ,CANADIAN SYLLABICS QAI,supRaCans_keCans
syllabic,supRa_ki_ringAbove-cans,"supRa-cans, ki-cans, ringAbove-cans",0x157E,ᕾ,CANADIAN SYLLABICS QAAI,supRaCans_kiCans_ringAboveCans
syllabic,supRa_ki-cans,"supRa-cans, ki-cans",0x157F,ᕿ,CANADIAN SYLLABICS QI,supRaCans_kiCans
syllabic,supRa_ki_dotAbove-cans,"supRa-cans, ki-cans, dotAbove-cans",0x1580,ᖀ,CANADIAN SYLLABICS QII,supRaCans_kiCans_dotAboveCans
syllabic,supRa_ko-cans,"supRa-cans, ko-cans",0x1581,ᖁ,CANADIAN SYLLABICS QO,supRaCans_koCans
syllabic,supRa_ko_dotAbove-cans,"supRa-cans, ko-cans, dotAbove-cans",0x1582,ᖂ,CANADIAN SYLLABICS QOO,supRaCans_koCans_dotAboveCans
syllabic,supRa_ka-cans,"supRa-cans, ka-cans",0x1583,ᖃ,CANADIAN SYLLABICS QA,supRaCans_kaCans
syllabic,supRa_ka_dotAbove-cans,"supRa-cans, ka-cans, dotAbove-cans",0x1584,ᖄ,CANADIAN SYLLABICS QAA,supRaCans_kaCans_dotAboveCans
syllabic,openNe-cans,,0x1543,ᕃ,CANADIAN SYLLABICS R-CREE RE,openNeCans
syllabic,openNi-cans,,0x1542,ᕂ,CANADIAN SYLLABICS RE,openNiCans
syllabic,openNo-cans,,0x1544,ᕄ,CANADIAN SYLLABICS WEST-CREE LE,openNoCans
syllabic,openNa-cans,,0x1546,ᕆ,CANADIAN SYLLABICS RI,openNaCans
syllabic,openNa_ringAbove-cans,"openNa-cans, ringAbove-cans",0x1545,ᕅ,CANADIAN SYLLABICS RAAI,openNaCans_ringAboveCans
syllabic,openNa_dotAbove-cans,"openNa-cans, dotAbove-cans",0x1547,ᕇ,CANADIAN SYLLABICS RII,openNaCans_dotAboveCans
syllabic,openNe_dot-cans,"openNe-cans, dot-cans",0x18E0,ᣠ,CANADIAN SYLLABICS R-CREE RWE,openNeCans_dotCans
syllabic,openKa_dotAbove-cans,"openKa-cans, dotAbove-cans",0x18E1,ᣡ,CANADIAN SYLLABICS WEST-CREE LOO,openKaCans_dotAboveCans
syllabic,openKo_dotAbove-cans,"openKo-cans, dotAbove-cans",0x18E2,ᣢ,CANADIAN SYLLABICS WEST-CREE LAA,openKoCans_dotAboveCans
syllabic,dot_openNe-cans,"dot-cans, openNe-cans",0x18CE,ᣎ,CANADIAN SYLLABICS RWEE,dotCans_openNeCans
syllabic,dot_openNa-cans,"dot-cans, openNa-cans",0x18CF,ᣏ,CANADIAN SYLLABICS RWI,dotCans_openNaCans
syllabic,dot_openNa_dotAbove-cans,"dot-cans, openNa-cans, dotAbove-cans",0x18D0,ᣐ,CANADIAN SYLLABICS RWII,dotCans_openNaCans_dotAboveCans
syllabic,supNaCa_ce-cans,"supNaCa-cans, ce-cans",0x1670,ᙰ,CANADIAN SYLLABICS NGAI,supNaCaCans_ceCans
syllabic,supNaCa_ci_ringAbove-cans,"supNaCa-cans, ci-cans, ringAbove-cans",0x158E,ᖎ,CANADIAN SYLLABICS NGAAI,supNaCaCans_ciCans_ringAboveCans
syllabic,supNaCa_ci-cans,"supNaCa-cans, ci-cans",0x158F,ᖏ,CANADIAN SYLLABICS NGI,supNaCaCans_ciCans
syllabic,supNaCa_ci_dotAbove-cans,"supNaCa-cans, ci-cans, dotAbove-cans",0x1590,ᖐ,CANADIAN SYLLABICS NGII,supNaCaCans_ciCans_dotAboveCans
syllabic,supNaCa_co-cans,"supNaCa-cans, co-cans",0x1591,ᖑ,CANADIAN SYLLABICS NGO,supNaCaCans_coCans
syllabic,supNaCa_co_dotAbove-cans,"supNaCa-cans, co-cans, dotAbove-cans",0x1592,ᖒ,CANADIAN SYLLABICS NGOO,supNaCaCans_coCans_dotAboveCans
syllabic,supNaCa_ca-cans,"supNaCa-cans, ca-cans",0x1593,ᖓ,CANADIAN SYLLABICS NGA,supNaCaCans_caCans
syllabic,supNaCa_ca_dotAbove-cans,"supNaCa-cans, ca-cans, dotAbove-cans",0x1594,ᖔ,CANADIAN SYLLABICS NGAA,supNaCaCans_caCans_dotAboveCans
syllabic,supNaNaCa_ci-cans,"supNaNaCa-cans, ci-cans",0x1671,ᙱ,CANADIAN SYLLABICS NNGI,supNaNaCaCans_ciCans
syllabic,supNaNaCa_ci_dotAbove-cans,"supNaNaCa-cans, ci-cans, dotAbove-cans",0x1672,ᙲ,CANADIAN SYLLABICS NNGII,supNaNaCaCans_ciCans_dotAboveCans
syllabic,supNaNaCa_co-cans,"supNaNaCa-cans, co-cans",0x1673,ᙳ,CANADIAN SYLLABICS NNGO,supNaNaCaCans_coCans
syllabic,supNaNaCa_co_dotAbove-cans,"supNaNaCa-cans, co-cans, dotAbove-cans",0x1674,ᙴ,CANADIAN SYLLABICS NNGOO,supNaNaCaCans_coCans_dotAboveCans
syllabic,supNaNaCa_ca-cans,"supNaNaCa-cans, ca-cans",0x1675,ᙵ,CANADIAN SYLLABICS NNGA,supNaNaCaCans_caCans
syllabic,supNaNaCa_ca_dotAbove-cans,"supNaNaCa-cans, ca-cans, dotAbove-cans",0x1676,ᙶ,CANADIAN SYLLABICS NNGAA,supNaNaCaCans_caCans_dotAboveCans
syllabic,ce-cans,,0x1489,ᒉ,CANADIAN SYLLABICS CE,ceCans
syllabic,ci-cans,,0x148B,ᒋ,CANADIAN SYLLABICS CI,ciCans
syllabic,co-cans,,0x148D,ᒍ,CANADIAN SYLLABICS CO,coCans
syllabic,ca-cans,,0x1490,ᒐ,CANADIAN SYLLABICS CA,caCans
syllabic,ci_ringAbove-cans,"ci-cans, ringAbove-cans",0x148A,ᒊ,CANADIAN SYLLABICS CAAI,ciCans_ringAboveCans
syllabic,ci_dotAbove-cans,"ci-cans, dotAbove-cans",0x148C,ᒌ,CANADIAN SYLLABICS CII,ciCans_dotAboveCans
syllabic,co_dotAbove-cans,"co-cans, dotAbove-cans",0x148E,ᒎ,CANADIAN SYLLABICS COO,coCans_dotAboveCans
syllabic,ca_dotAbove-cans,"ca-cans, dotAbove-cans",0x1491,ᒑ,CANADIAN SYLLABICS CAA,caCans_dotAboveCans
syllabic,dot_ce-cans,"dot-cans, ce-cans",0x1492,ᒒ,CANADIAN SYLLABICS CWE,dotCans_ceCans
syllabic,ce_dot-cans,"ce-cans, dot-cans",0x1493,ᒓ,CANADIAN SYLLABICS WEST-CREE CWE,ceCans_dotCans
syllabic,dot_ci-cans,"dot-cans, ci-cans",0x1494,ᒔ,CANADIAN SYLLABICS CWI,dotCans_ciCans
syllabic,ci_dot-cans,"ci-cans, dot-cans",0x1495,ᒕ,CANADIAN SYLLABICS WEST-CREE CWI,ciCans_dotCans
syllabic,dot_ci_dotAbove-cans,"dot-cans, ci-cans, dotAbove-cans",0x1496,ᒖ,CANADIAN SYLLABICS CWII,dotCans_ciCans_dotAboveCans
syllabic,ci_dotAbove_dot-cans,"ci-cans, dotAbove-cans, dot-cans",0x1497,ᒗ,CANADIAN SYLLABICS WEST-CREE CWII,ciCans_dotAboveCans_dotCans
syllabic,dot_co-cans,"dot-cans, co-cans",0x1498,ᒘ,CANADIAN SYLLABICS CWO,dotCans_coCans
syllabic,co_dot-cans,"co-cans, dot-cans",0x1499,ᒙ,CANADIAN SYLLABICS WEST-CREE CWO,coCans_dotCans
syllabic,dot_co_dotAbove-cans,"dot-cans, co-cans, dotAbove-cans",0x149A,ᒚ,CANADIAN SYLLABICS CWOO,dotCans_coCans_dotAboveCans
syllabic,co_dotAbove_dot-cans,"co-cans, dotAbove-cans, dot-cans",0x149B,ᒛ,CANADIAN SYLLABICS WEST-CREE CWOO,coCans_dotAboveCans_dotCans
syllabic,dot_ca-cans,"dot-cans, ca-cans",0x149C,ᒜ,CANADIAN SYLLABICS CWA,dotCans_caCans
syllabic,ca_dot-cans,"ca-cans, dot-cans",0x149D,ᒝ,CANADIAN SYLLABICS WEST-CREE CWA,caCans_dotCans
syllabic,dot_ca_dotAbove-cans,"dot-cans, ca-cans, dotAbove-cans",0x149E,ᒞ,CANADIAN SYLLABICS CWAA,dotCans_caCans_dotAboveCans
syllabic,ca_dotAbove_dot-cans,"ca-cans, dotAbove-cans, dot-cans",0x149F,ᒟ,CANADIAN SYLLABICS WEST-CREE CWAA,caCans_dotAboveCans_dotCans
syllabic,co_dieresis-cans,"co-cans, dieresis-cans",0x148F,ᒏ,CANADIAN SYLLABICS Y-CREE COO,coCans_dieresisCans
syllabic,colon_ca-cans,"colon-cans, ca-cans",0x14A0,ᒠ,CANADIAN SYLLABICS NASKAPI CWAA,colonCans_caCans
syllabic,le-cans,,0x14D3,ᓓ,CANADIAN SYLLABICS LE,leCans
syllabic,li-cans,,0x14D5,ᓕ,CANADIAN SYLLABICS LI,liCans
syllabic,lo-cans,,0x14D7,ᓗ,CANADIAN SYLLABICS LO,loCans
syllabic,la-cans,,0x14DA,ᓚ,CANADIAN SYLLABICS LA,laCans
syllabic,li_ringAbove-cans,"li-cans, ringAbove-cans",0x14D4,ᓔ,CANADIAN SYLLABICS LAAI,liCans_ringAboveCans
syllabic,li_dotAbove-cans,"li-cans, dotAbove-cans",0x14D6,ᓖ,CANADIAN SYLLABICS LII,liCans_dotAboveCans
syllabic,lo_dotAbove-cans,"lo-cans, dotAbove-cans",0x14D8,ᓘ,CANADIAN SYLLABICS LOO,loCans_dotAboveCans
syllabic,la_dotAbove-cans,"la-cans, dotAbove-cans",0x14DB,ᓛ,CANADIAN SYLLABICS LAA,laCans_dotAboveCans
syllabic,dot_le-cans,"dot-cans, le-cans",0x14DC,ᓜ,CANADIAN SYLLABICS LWE,dotCans_leCans
syllabic,le_dot-cans,"le-cans, dot-cans",0x14DD,ᓝ,CANADIAN SYLLABICS WEST-CREE LWE,leCans_dotCans
syllabic,dot_li-cans,"dot-cans, li-cans",0x14DE,ᓞ,CANADIAN SYLLABICS LWI,dotCans_liCans
syllabic,li_dot-cans,"li-cans, dot-cans",0x14DF,ᓟ,CANADIAN SYLLABICS WEST-CREE LWI,liCans_dotCans
syllabic,dot_li_dotAbove-cans,"dot-cans, li-cans, dotAbove-cans",0x14E0,ᓠ,CANADIAN SYLLABICS LWII,dotCans_liCans_dotAboveCans
syllabic,li_dotAbove_dot-cans,"li-cans, dotAbove-cans, dot-cans",0x14E1,ᓡ,CANADIAN SYLLABICS WEST-CREE LWII,liCans_dotAboveCans_dotCans
syllabic,dot_lo-cans,"dot-cans, lo-cans",0x14E2,ᓢ,CANADIAN SYLLABICS LWO,dotCans_loCans
syllabic,lo_dot-cans,"lo-cans, dot-cans",0x14E3,ᓣ,CANADIAN SYLLABICS WEST-CREE LWO,loCans_dotCans
syllabic,dot_lo_dotAbove-cans,"dot-cans, lo-cans, dotAbove-cans",0x14E4,ᓤ,CANADIAN SYLLABICS LWOO,dotCans_loCans_dotAboveCans
syllabic,lo_dotAbove_dot-cans,"lo-cans, dotAbove-cans, dot-cans",0x14E5,ᓥ,CANADIAN SYLLABICS WEST-CREE LWOO,loCans_dotAboveCans_dotCans
syllabic,dot_la-cans,"dot-cans, la-cans",0x14E6,ᓦ,CANADIAN SYLLABICS LWA,dotCans_laCans
syllabic,la_dot-cans,"la-cans, dot-cans",0x14E7,ᓧ,CANADIAN SYLLABICS WEST-CREE LWA,laCans_dotCans
syllabic,dot_la_dotAbove-cans,"dot-cans, la-cans, dotAbove-cans",0x14E8,ᓨ,CANADIAN SYLLABICS LWAA,dotCans_laCans_dotAboveCans
syllabic,la_dotAbove_dot-cans,"la-cans, dotAbove-cans, dot-cans",0x14E9,ᓩ,CANADIAN SYLLABICS WEST-CREE LWAA,laCans_dotAboveCans_dotCans
syllabic,la_ringAbove-cans,"la-cans, ringAbove-cans",0x18BD,ᢽ,CANADIAN SYLLABICS LAY,laCans_ringAboveCans
syllabic,lo_dieresis-cans,"lo-cans, dieresis-cans",0x14D9,ᓙ,CANADIAN SYLLABICS Y-CREE LOO,loCans_dieresisCans
syllabic,ceRe-cans,,0x158A,ᖊ,CANADIAN SYLLABICS WEST-CREE RE,ceReCans
syllabic,ciRi-cans,,0x158B,ᖋ,CANADIAN SYLLABICS WEST-CREE RI,ciRiCans
syllabic,coRo-cans,,0x158C,ᖌ,CANADIAN SYLLABICS WEST-CREE RO,coRoCans
syllabic,caRa-cans,,0x158D,ᖍ,CANADIAN SYLLABICS WEST-CREE RA,caRaCans
syllabic,lhi-cans,,0x15A0,ᖠ,CANADIAN SYLLABICS LHI,lhiCans
syllabic,lho-cans,,0x15A2,ᖢ,CANADIAN SYLLABICS LHO,lhoCans
syllabic,lha-cans,,0x15A4,ᖤ,CANADIAN SYLLABICS LHA,lhaCans
syllabic,lhi_dotAbove-cans,"lhi-cans, dotAbove-cans",0x15A1,ᖡ,CANADIAN SYLLABICS LHII,lhiCans_dotAboveCans
syllabic,lho_dotAbove-cans,"lho-cans, dotAbove-cans",0x15A3,ᖣ,CANADIAN SYLLABICS LHOO,lhoCans_dotAboveCans
syllabic,lha_dotAbove-cans,"lha-cans, dotAbove-cans",0x15A5,ᖥ,CANADIAN SYLLABICS LHAA,lhaCans_dotAboveCans
syllabic,me-cans,,0x14A3,ᒣ,CANADIAN SYLLABICS ME,meCans
syllabic,mi-cans,,0x14A5,ᒥ,CANADIAN SYLLABICS MI,miCans
syllabic,mo-cans,,0x14A7,ᒧ,CANADIAN SYLLABICS MO,moCans
syllabic,ma-cans,,0x14AA,ᒪ,CANADIAN SYLLABICS MA,maCans
syllabic,mi_ringAbove-cans,"mi-cans, ringAbove-cans",0x14A4,ᒤ,CANADIAN SYLLABICS MAAI,miCans_ringAboveCans
syllabic,mi_dotAbove-cans,"mi-cans, dotAbove-cans",0x14A6,ᒦ,CANADIAN SYLLABICS MII,miCans_dotAboveCans
syllabic,mo_dotAbove-cans,"mo-cans, dotAbove-cans",0x14A8,ᒨ,CANADIAN SYLLABICS MOO,moCans_dotAboveCans
syllabic,ma_dotAbove-cans,"ma-cans, dotAbove-cans",0x14AB,ᒫ,CANADIAN SYLLABICS MAA,maCans_dotAboveCans
syllabic,dot_me-cans,"dot-cans, me-cans",0x14AC,ᒬ,CANADIAN SYLLABICS MWE,dotCans_meCans
syllabic,me_dot-cans,"me-cans, dot-cans",0x14AD,ᒭ,CANADIAN SYLLABICS WEST-CREE MWE,meCans_dotCans
syllabic,dot_mi-cans,"dot-cans, mi-cans",0x14AE,ᒮ,CANADIAN SYLLABICS MWI,dotCans_miCans
syllabic,mi_dot-cans,"mi-cans, dot-cans",0x14AF,ᒯ,CANADIAN SYLLABICS WEST-CREE MWI,miCans_dotCans
syllabic,dot_mi_dotAbove-cans,"dot-cans, mi-cans, dotAbove-cans",0x14B0,ᒰ,CANADIAN SYLLABICS MWII,dotCans_miCans_dotAboveCans
syllabic,mi_dotAbove_dot-cans,"mi-cans, dotAbove-cans, dot-cans",0x14B1,ᒱ,CANADIAN SYLLABICS WEST-CREE MWII,miCans_dotAboveCans_dotCans
syllabic,dot_mo-cans,"dot-cans, mo-cans",0x14B2,ᒲ,CANADIAN SYLLABICS MWO,dotCans_moCans
syllabic,mo_dot-cans,"mo-cans, dot-cans",0x14B3,ᒳ,CANADIAN SYLLABICS WEST-CREE MWO,moCans_dotCans
syllabic,dot_mo_dotAbove-cans,"dot-cans, mo-cans, dotAbove-cans",0x14B4,ᒴ,CANADIAN SYLLABICS MWOO,dotCans_moCans_dotAboveCans
syllabic,mo_dotAbove_dot-cans,"mo-cans, dotAbove-cans, dot-cans",0x14B5,ᒵ,CANADIAN SYLLABICS WEST-CREE MWOO,moCans_dotAboveCans_dotCans
syllabic,dot_ma-cans,"dot-cans, ma-cans",0x14B6,ᒶ,CANADIAN SYLLABICS MWA,dotCans_maCans
syllabic,ma_dot-cans,"ma-cans, dot-cans",0x14B7,ᒷ,CANADIAN SYLLABICS WEST-CREE MWA,maCans_dotCans
syllabic,dot_ma_dotAbove-cans,"dot-cans, ma-cans, dotAbove-cans",0x14B8,ᒸ,CANADIAN SYLLABICS MWAA,dotCans_maCans_dotAboveCans
