category,glyph name,composition,code point,(char.),(character name),(compatible glyph name)
final,supNaCa-cans,,0x1595,ᖕ,CANADIAN SYLLABICS NG,supNaCaCans
final,supNaNaCa-cans,,0x1596,ᖖ,CANADIAN SYLLABICS NNG,supNaNaCaCans
final,supNaKa-cans,,,,,supNaKaCans
final,supNaNaKa-cans,,,,,supNaNaKaCans
final,supNaKa_supNaKa-cans,"supNaKa-cans, supNaKa-cans",,,,supNaKaCans_supNaKaCans
final,supLa-cans,,0x14EA,ᓪ,CANADIAN SYLLABICS L,supLaCans
final,supCi-cans,,0x18D7,ᣗ,CANADIAN SYLLABICS OJIBWAY C,supCiCans
final,supCa-cans,,0x14A1,ᒡ,CANADIAN SYLLABICS C,supCaCans
final,supLha-cans,,0x15A6,ᖦ,CANADIAN SYLLABICS LH,supLhaCans
final,supMi-cans,,0x18D8,ᣘ,CANADIAN SYLLABICS OJIBWAY M,supMiCans
final,supMo-cans,,0x14BD,ᒽ,CANADIAN SYLLABICS MH,supMoCans
final,supMa-cans,,0x14BB,ᒻ,CANADIAN SYLLABICS M,supMaCans
final,supSi-cans,,0x18DA,ᣚ,CANADIAN SYLLABICS OJIBWAY S,supSiCans
final,supSo-cans,,0x1507,ᔇ,CANADIAN SYLLABICS SW,supSoCans
final,supSa-cans,,0x1505,ᔅ,CANADIAN SYLLABICS S,supSaCans
final,supSoKa-cans,,0x150A,ᔊ,CANADIAN SYLLABICS NASKAPI SKW,supSoKaCans
final,supSaKo-cans,,0x1509,ᔉ,CANADIAN SYLLABICS MOOSE-CREE SK,supSaKoCans
final,supSaWithDots-cans,,0x150B,ᔋ,CANADIAN SYLLABICS NASKAPI S-W,supSaWithDotsCans
final,supYa-cans,,0x153E,ᔾ,CANADIAN SYLLABICS Y,supYaCans
final,supYaTha-cans,,0x15AE,ᖮ,CANADIAN SYLLABICS TH-CREE TH,supYaThaCans
final,supShi-cans,,0x18DB,ᣛ,CANADIAN SYLLABICS OJIBWAY SH,supShiCans
final,supSha-cans,,0x1525,ᔥ,CANADIAN SYLLABICS SH,supShaCans
final,supBlackfootS-cans,,0x1508,ᔈ,CANADIAN SYLLABICS BLACKFOOT S,supBlackfootSCans
final,supSayisiM-cans,,0x14BE,ᒾ,CANADIAN SYLLABICS ATHAPASCAN M,supSayisiMCans
final,subSayisiTh-cans,,0x14A2,ᒢ,CANADIAN SYLLABICS SAYISI TH,subSayisiThCans
final,midCarrierNg-cans,,0x14D1,ᓑ,CANADIAN SYLLABICS CARRIER NG,midCarrierNgCans
final,midCarrierP-cans,,0x15EE,ᗮ,CANADIAN SYLLABICS CARRIER P,midCarrierPCans
final,midCarrierKk-cans,,0x1601,ᘁ,CANADIAN SYLLABICS CARRIER KK,midCarrierKkCans
final,midDoublePipe-cans,,,,,midDoublePipeCans
final,midDoubleAcute-cans,,,,,midDoubleAcuteCans
final,midDownTack-cans,,,,,midDownTackCans
final,midAcute-cans,,,,,midAcuteCans
final,midGrave-cans,,,,,midGraveCans
final,midRightHalfRing-cans,,,,,midRightHalfRingCans
final,midLeftHalfRing-cans,,,,,midLeftHalfRingCans
final,midPipe-cans,,,,,midPipeCans
final,midCarrierLh-cans,,,,,midCarrierLhCans
syllabic,latinB-cans,,0x15AF,ᖯ,CANADIAN SYLLABICS AIVILIK B,latinBCans
syllabic,latinCapH-cans,,0x157C,ᕼ,CANADIAN SYLLABICS NUNAVUT H,latinCapHCans
syllabic,cross-cans,,0x166D,᙭,CANADIAN SYLLABICS CHI SIGN,crossCans
syllabic,l-cans,,0x14EC,ᓬ,CANADIAN SYLLABICS MEDIAL L,lCans
